trip_id,arrival_time,departure_time,stop_id,stop_sequence
KomichiOrange1,8:00:00,8:00:00,TakaokaEkiMaeOrange,0
KomichiOrange1,8:01:00,8:01:00,SuehiroCho3,1
KomichiOrange1,8:03:00,8:03:00,OtayaSerioMae,2
KomichiOrange1,8:04:00,8:04:00,OtayaMachi,3
KomichiOrange1,8:06:00,8:06:00,TakaokaDaibutsuMae0,4
KomichiOrange1,8:08:00,8:08:00,SakashitaMachi0,5
KomichiOrange1,8:09:00,8:09:00,KonmadashiMachi0,6
KomichiOrange1,8:10:00,8:10:00,KifuneMachiGuchi,7
KomichiOrange1,8:11:00,8:11:00,MoriyamaMachi,8
KomichiOrange1,8:12:00,8:12:00,TakaokaPostOfficeMae,9
KomichiOrange1,8:13:00,8:13:00,TakamineParkMae,10
KomichiOrange1,8:14:00,8:14:00,ToriMachi,11
KomichiOrange1,8:15:00,8:15:00,HatagoMachi,12
KomichiOrange1,8:17:00,8:17:00,NakajimaMachi,13
KomichiOrange1,8:17:00,8:17:00,YokotaMachi,14
KomichiOrange1,8:18:00,8:18:00,ArisoShrineMae,15
KomichiOrange1,8:19:00,8:19:00,ChorakujiMae,16
KomichiOrange1,8:19:00,8:19:00,SengokuMachi,17
KomichiOrange1,8:20:00,8:20:00,SengokuKamiCho,18
KomichiOrange1,8:21:00,8:21:00,OgiMachi,19
KomichiOrange1,8:22:00,8:22:00,Habiro2,20
KomichiOrange1,8:22:00,8:22:00,Habiro2Chome1,21
KomichiOrange1,8:23:00,8:23:00,KoseirenHospitalMae1,22
KomichiOrange1,8:24:00,8:24:00,EirakuCho1,23
KomichiOrange1,8:25:00,8:25:00,HamadaCho1,24
KomichiOrange1,8:28:00,8:28:00,TakaokashiFureaiFukushiCenter,25
KomichiOrange1,8:30:00,8:30:00,BakuroMachi1,26
KomichiOrange1,8:31:00,8:31:00,MinamiCho3,27
KomichiOrange1,8:32:00,8:32:00,DaikuNakaMachi1,28
KomichiOrange1,8:32:00,8:32:00,TakanomiyaGuchi1,29
KomichiOrange1,8:40:00,8:40:00,TakaokaEkiMaeOrange,30
KomichiOrange2,8:20:00,8:20:00,TakaokaEkiMaeOrange,0
KomichiOrange2,8:21:00,8:21:00,SuehiroCho3,1
KomichiOrange2,8:23:00,8:23:00,OtayaSerioMae,2
KomichiOrange2,8:24:00,8:24:00,OtayaMachi,3
KomichiOrange2,8:26:00,8:26:00,TakaokaDaibutsuMae0,4
KomichiOrange2,8:28:00,8:28:00,SakashitaMachi0,5
KomichiOrange2,8:29:00,8:29:00,KonmadashiMachi0,6
KomichiOrange2,8:30:00,8:30:00,KifuneMachiGuchi,7
KomichiOrange2,8:31:00,8:31:00,MoriyamaMachi,8
KomichiOrange2,8:32:00,8:32:00,TakaokaPostOfficeMae,9
KomichiOrange2,8:33:00,8:33:00,TakamineParkMae,10
KomichiOrange2,8:34:00,8:34:00,ToriMachi,11
KomichiOrange2,8:35:00,8:35:00,HatagoMachi,12
KomichiOrange2,8:37:00,8:37:00,NakajimaMachi,13
KomichiOrange2,8:37:00,8:37:00,YokotaMachi,14
KomichiOrange2,8:38:00,8:38:00,ArisoShrineMae,15
KomichiOrange2,8:39:00,8:39:00,ChorakujiMae,16
KomichiOrange2,8:39:00,8:39:00,SengokuMachi,17
KomichiOrange2,8:40:00,8:40:00,SengokuKamiCho,18
KomichiOrange2,8:41:00,8:41:00,OgiMachi,19
KomichiOrange2,8:42:00,8:42:00,Habiro2,20
KomichiOrange2,8:42:00,8:42:00,Habiro2Chome1,21
KomichiOrange2,8:43:00,8:43:00,KoseirenHospitalMae1,22
KomichiOrange2,8:44:00,8:44:00,EirakuCho1,23
KomichiOrange2,8:45:00,8:45:00,HamadaCho1,24
KomichiOrange2,8:48:00,8:48:00,TakaokashiFureaiFukushiCenter,25
KomichiOrange2,8:50:00,8:50:00,BakuroMachi1,26
KomichiOrange2,8:51:00,8:51:00,MinamiCho3,27
KomichiOrange2,8:52:00,8:52:00,DaikuNakaMachi1,28
KomichiOrange2,8:52:00,8:52:00,TakanomiyaGuchi1,29
KomichiOrange2,9:00:00,9:00:00,TakaokaEkiMaeOrange,30
KomichiOrange3,8:40:00,8:40:00,TakaokaEkiMaeOrange,0
KomichiOrange3,8:41:00,8:41:00,SuehiroCho3,1
KomichiOrange3,8:43:00,8:43:00,OtayaSerioMae,2
KomichiOrange3,8:44:00,8:44:00,OtayaMachi,3
KomichiOrange3,8:46:00,8:46:00,TakaokaDaibutsuMae0,4
KomichiOrange3,8:48:00,8:48:00,SakashitaMachi0,5
KomichiOrange3,8:49:00,8:49:00,KonmadashiMachi0,6
KomichiOrange3,8:50:00,8:50:00,KifuneMachiGuchi,7
KomichiOrange3,8:51:00,8:51:00,MoriyamaMachi,8
KomichiOrange3,8:52:00,8:52:00,TakaokaPostOfficeMae,9
KomichiOrange3,8:53:00,8:53:00,TakamineParkMae,10
KomichiOrange3,8:54:00,8:54:00,ToriMachi,11
KomichiOrange3,8:55:00,8:55:00,HatagoMachi,12
KomichiOrange3,8:57:00,8:57:00,NakajimaMachi,13
KomichiOrange3,8:57:00,8:57:00,YokotaMachi,14
KomichiOrange3,8:58:00,8:58:00,ArisoShrineMae,15
KomichiOrange3,8:59:00,8:59:00,ChorakujiMae,16
KomichiOrange3,8:59:00,8:59:00,SengokuMachi,17
KomichiOrange3,9:00:00,9:00:00,SengokuKamiCho,18
KomichiOrange3,9:01:00,9:01:00,OgiMachi,19
KomichiOrange3,9:02:00,9:02:00,Habiro2,20
KomichiOrange3,9:02:00,9:02:00,Habiro2Chome1,21
KomichiOrange3,9:03:00,9:03:00,KoseirenHospitalMae1,22
KomichiOrange3,9:04:00,9:04:00,EirakuCho1,23
KomichiOrange3,9:05:00,9:05:00,HamadaCho1,24
KomichiOrange3,9:08:00,9:08:00,TakaokashiFureaiFukushiCenter,25
KomichiOrange3,9:10:00,9:10:00,BakuroMachi1,26
KomichiOrange3,9:11:00,9:11:00,MinamiCho3,27
KomichiOrange3,9:12:00,9:12:00,DaikuNakaMachi1,28
KomichiOrange3,9:12:00,9:12:00,TakanomiyaGuchi1,29
KomichiOrange3,9:20:00,9:20:00,TakaokaEkiMaeOrange,30
KomichiOrange4,9:00:00,9:00:00,TakaokaEkiMaeOrange,0
KomichiOrange4,9:01:00,9:01:00,SuehiroCho3,1
KomichiOrange4,9:03:00,9:03:00,OtayaSerioMae,2
KomichiOrange4,9:04:00,9:04:00,OtayaMachi,3
KomichiOrange4,9:06:00,9:06:00,TakaokaDaibutsuMae0,4
KomichiOrange4,9:08:00,9:08:00,SakashitaMachi0,5
KomichiOrange4,9:09:00,9:09:00,KonmadashiMachi0,6
